Comment,Designator,Footprint,JLCPCB P/N

"CR2032","BT1","KEYSTONE_1063TR_1063TR","C964764"
"16V 100nF X7R","C1, C2, C3, C6, C8, C10, C11, C12, C13, C17, C19, C20, C22","CAP0402","C1525, C14442"
"1kV 1nF X7R ±10%","C4","CAP_1210","C106100"
"16V 1nF X7R","C5","CAP0402","C189467"
"16V 22uF X5R","C7, C9","CAP_1210","C19659"
"22pF","C14","CAP0402","C70464"
"47uF 16V","C15, C16, C18","CAP_P1210","C136751"
"CN_PowerJack","CN1","PJ002B",""
"SS14","D1, D2, D3, D4, D5","D_SMA","C2480"
"Choke 450mO ±25%","FB1, FB2, FB3, FB4, FB5, FB6, FB7","CHOKE0603","C1002, [NoParam]"
"Choke","FB8","CHOKE0603","C1002"
"Terminal 2x3 Pin - 2.54 Pitch","J2, J5, J6","2","C65114"
"RJ45","J3","TE_6116173-4","C3000171"
"USB4105GFA120","J4","GCT_USB4105GFA120","C3025063"
"RJ45-4","J7","","C3000183"
"MSD-11-A","J8","CUI_MSD-11-A","C693845"
"P=5.08mm Pluggable System Terminal Block","J9","TERMINALBLOCK_1X2_P5MM","C3697"
"2.85A 4.7uH ±20%","L1","IND1515","C98363"
"IRLML0040TRPBF","Q1","SOT_23","C67273"
"10K 10%","R1, R12, R13, R14, R15, R16, R17, R18, R19, R23, R24, R25, R26, R31, R32, R39, R40, R44, R45, R47, R49, R52","RES0402","C71617"
"4K7 10%","R2, R3","RES0402","C100444"
"470 10%","R4, R5","RES0402","C100443"
"75 1%","R6, R7","RES0402","C100685"
"49.9 1%","R8, R9, R10, R11","RES0402","C325388"
"12.1K 1%","R20","RES0402","C25852"
"5K1 10%","R21, R22, R50, R51","RES0402","C100665"
"1K 10%","R27, R28, R33, R34, R35, R36, R41, R42, R43, R48, R53","RES0402","C71623"
"220 10%","R29, R30, R37, R38","RES0402","C100308"
"33.2K 1%","R46","RES0402","C130276"
"Varistor","RV1","RES0805","C432914"
"PT61018PEL","U1","XFMR_PT61018PEL","C840586"
"LAN8720AI-CP","U2","QFN50P400X400X100-25N","C633282"
"NUP4202","U3, U5","SOT65P210X110-6N","C21713972"
"ESP32-WROOM-32D","U4","XCVR_ESP32-WROOM-32U","C328062"
"ESP32-C6-WROOM-1U-N4","U6","XCVR_ESP32-C6-WROOM-1-N8","C5366877"
"ISL3172EIBZ","U7","SOIC127P600X175-8N","C5772578"
"TCMT1100","U8, U9, U10, U11","SOIC127P700X230-4N","C118298"
"TPS563200DDCR","U12","SOT95P280X110-6N","C97253"
"DS3231MZ/V+","U13","21-0041B_8","C107410"
